City,Country,Longitude,Latitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Max Temperature (F)
makakilo city,US,-158.0858,21.3469,1621136648,78.87,47,1,10.36,82.4
kodinsk,RU,99.1844,58.6881,1621136648,43.86,32,14,8.68,43.86
banda aceh,ID,95.3222,5.5577,1621136648,85.08,73,100,4.29,85.08
port alfred,ZA,26.891,-33.5906,1621136649,60.66,85,97,16.2,60.66
matara,LK,80.5353,5.9485,1621136649,85.64,72,99,10.58,85.64
ures,MX,-110.4,29.4333,1621136650,74.62,36,0,1.99,79.0
busselton,AU,115.3333,-33.65,1621136650,64.99,65,100,1.01,64.99
atuona,PF,-139.0333,-9.8,1621136650,79.52,66,6,15.99,79.52
airai,TL,125.4092,-8.9266,1621136651,72.82,50,90,4.52,72.82
lokot,RU,34.5776,52.565,1621136651,55.51,90,33,5.59,55.51
rikitea,PF,-134.9692,-23.1203,1621136616,74.79,65,97,18.41,74.79
mersing,MY,103.8405,2.4312,1621136652,89.6,70,40,3.44,89.6
ylivieska,FI,24.55,64.0833,1621136652,44.49,61,100,1.99,50.0
mataura,NZ,168.8643,-46.1927,1621136624,52.0,73,6,5.01,52.0
ekuvukeni,ZA,30.1551,-28.4675,1621136653,54.77,39,1,3.18,54.77
ushuaia,AR,-68.3,-54.8,1621136359,42.8,70,20,9.22,42.8
los llanos de aridane,ES,-17.9182,28.6585,1621136647,63.18,77,0,17.27,68.0
orsk,RU,58.5668,51.2049,1621136607,71.6,49,0,1.14,71.6
nikolskoye,RU,30.7861,59.7035,1621136654,56.39,88,75,4.47,57.2
labuhan,ID,112.2051,-6.8844,1621136654,87.13,64,9,3.11,87.13
port elizabeth,ZA,25.5701,-33.918,1621136655,59.0,88,75,17.27,59.0
iqaluit,CA,-68.5145,63.7506,1621136655,23.0,80,75,5.75,23.0
almetyevsk,RU,52.3154,54.9044,1621136655,74.34,46,15,8.9,74.34
tilichiki,RU,166.1,60.4667,1621136656,32.54,90,8,2.73,32.54
hasaki,JP,140.8333,35.7333,1621136656,73.33,64,75,13.8,77.0
dikson,RU,80.5464,73.5069,1621136656,24.8,73,100,16.4,24.8
abu samrah,SY,37.1841,35.3029,1621136657,65.82,44,77,6.38,65.82
bredasdorp,ZA,20.0403,-34.5322,1621136657,53.6,87,98,5.75,53.6
klaksvik,FO,-6.589,62.2266,1621136617,42.8,93,90,18.41,42.8
hambantota,LK,81.1185,6.1241,1621136658,84.2,89,75,3.44,84.2
tura,IN,90.2201,25.5198,1621136658,85.23,61,58,4.72,85.23
medicine hat,CA,-110.6683,50.0501,1621136434,64.27,32,75,4.61,68.0
nome,US,-165.4064,64.5011,1621136659,51.08,40,1,14.97,53.6
praia da vitoria,PT,-27.0667,38.7333,1621136659,65.28,88,40,3.0,66.2
peterhead,GB,-1.7981,57.5058,1621136659,39.4,93,20,2.3,39.99
naryan-mar,RU,53.087,67.6713,1621136660,35.22,57,97,10.33,35.22
esperance,AU,121.9,-33.8667,1621136442,66.2,48,22,17.27,66.2
cherskiy,RU,161.3,68.75,1621136660,38.41,77,35,9.26,38.41
bara,NG,10.7288,10.3744,1621136661,80.74,59,100,6.69,80.74
zhoucheng,CN,116.3117,35.9122,1621136661,66.0,1,100,17.83,66.0
tuktoyaktuk,CA,-133.0374,69.4541,1621136661,35.6,80,20,12.66,35.6
byron bay,AU,153.6167,-28.65,1621136515,63.79,59,40,10.36,64.4
alofi,NU,-169.9187,-19.0595,1621136662,80.6,78,4,12.66,80.6
morondava,MG,44.2833,-20.2833,1621136662,72.79,76,8,5.14,72.79
lorengau,PG,147.2712,-2.0226,1621136663,86.07,71,97,11.72,86.07
anori,BR,-61.6442,-3.7728,1621136663,73.36,98,86,2.53,73.36
isangel,VU,169.2667,-19.55,1621136663,86.0,74,20,4.94,86.0
sitka,US,-135.33,57.0531,1621136664,46.4,71,90,8.05,46.4
punta arenas,CL,-70.9167,-53.15,1621136537,44.29,100,90,9.22,44.6
vaini,TO,-175.2,-21.2,1621136665,80.6,83,75,11.5,80.6
malinovka,BY,27.4374,53.8579,1621136665,50.0,100,90,2.24,50.0
mar del plata,AR,-57.5575,-38.0023,1621136619,53.74,66,100,1.99,55.0
kapaa,US,-159.319,22.0752,1621136666,75.83,57,40,19.57,78.8
zafra,ES,-6.4167,38.4167,1621136666,57.0,89,13,4.0,57.0
barrow,US,-156.7887,71.2906,1621136667,26.6,80,90,10.36,26.6
vostok,RU,135.8833,46.4856,1621136667,62.56,35,33,12.93,62.56
hamilton,US,-84.5333,39.1834,1621136401,60.71,67,90,3.44,63.0
mahebourg,MU,57.7,-20.4081,1621136668,75.2,73,40,18.41,75.2
hilo,US,-155.09,19.7297,1621136668,72.55,51,40,12.66,82.4
general roca,AR,-67.5833,-39.0333,1621136668,41.0,87,0,4.88,41.0
khorixas,NA,14.9667,-20.3667,1621136669,62.31,36,0,5.75,62.31
gayny,RU,54.3241,60.3071,1621136669,69.1,73,94,7.74,69.1
denpasar,ID,115.2167,-8.65,1621136669,84.2,79,20,16.11,84.2
leningradskiy,RU,178.4167,69.3833,1621136636,31.64,91,98,6.78,31.64
kyaikto,MM,97.0167,17.3,1621136670,91.89,58,27,7.85,91.89
roald,NO,6.1333,62.5833,1621136670,48.63,100,75,6.91,50.0
new norfolk,AU,147.0587,-42.7826,1621136671,51.96,82,96,1.99,57.0
georgetown,MY,100.3354,5.4112,1621136634,86.76,74,20,5.75,87.8
severnyy,RU,36.5532,50.677,1621136671,59.0,72,0,4.47,59.0
taveta,KE,37.6736,-3.3963,1621136672,68.0,88,75,4.61,68.0
cananeia,BR,-47.9267,-25.0147,1621136672,64.89,90,86,2.77,64.89
bluff,NZ,168.3333,-46.6,1621136672,52.0,73,57,5.01,52.0
kaitangata,NZ,169.8464,-46.2817,1621136673,52.45,62,2,4.25,52.45
dolores,AR,-57.6792,-36.3132,1621136673,48.49,77,93,4.68,48.49
arman,RU,150.1667,59.7,1621136674,42.57,57,100,13.56,42.57
saint george,US,-113.5841,37.1041,1621136666,81.18,11,1,14.97,82.4
hobart,AU,147.3294,-42.8794,1621136634,55.6,54,75,17.27,57.0
polyarnyy,RU,33.4478,69.1989,1621136674,35.6,93,75,6.71,35.6
albany,US,-73.9662,42.6001,1621136075,53.15,75,100,3.33,55.99
hirara,JP,125.2833,24.8,1621136675,84.94,79,40,18.41,86.0
cape town,ZA,18.4232,-33.9258,1621136675,50.99,93,0,2.3,54.0
kodiak,US,-152.4072,57.79,1621136676,46.4,81,90,4.61,46.4
butaritari,KI,172.7902,3.0707,1621136676,82.96,78,62,15.41,82.96
lebu,CL,-73.65,-37.6167,1621136404,50.49,85,0,7.76,50.49
carnarvon,AU,113.6333,-24.8667,1621136677,78.8,41,40,9.22,78.8
pasni,PK,63.471,25.2631,1621136677,85.37,65,1,6.17,85.37
ahipara,NZ,173.1667,-35.1667,1621136677,65.8,75,10,9.95,65.8
shush,IR,48.2436,32.1942,1621136678,88.63,21,0,10.69,88.63
salinopolis,BR,-47.3561,-0.6136,1621136678,76.28,89,100,8.08,76.28
japura,ID,102.35,-0.3167,1621136679,87.89,65,79,3.58,87.89
lubango,AO,13.4925,-14.9172,1621136679,57.11,52,2,2.95,57.11
dicabisagan,PH,122.4157,17.0818,1621136680,89.2,61,4,9.22,89.2
dawei,MM,98.2,14.0833,1621136680,93.74,51,94,7.14,93.74
narsaq,GL,-46.05,60.9167,1621136680,41.0,36,13,6.91,41.0
bengkulu,ID,102.2655,-3.8004,1621136532,85.28,67,39,4.34,85.28
mana,GF,-53.7767,5.6592,1621136681,76.98,87,59,5.1,76.98
taoudenni,ML,-3.9836,22.6783,1621136681,92.3,12,11,7.31,92.3
hattiesburg,US,-89.2903,31.3271,1621136682,65.59,68,1,3.44,68.0
florence,IT,11.25,43.7667,1621136600,57.7,82,75,1.14,59.0
praya,CV,-23.5087,14.9215,1621136682,69.8,78,75,16.11,69.8
millinocket,US,-68.7098,45.6573,1621136683,52.97,71,75,3.44,55.4
sao joao da barra,BR,-41.0511,-21.6403,1621136669,67.05,81,4,1.34,67.05
oussouye,SN,-16.5469,12.485,1621136683,75.2,88,20,2.3,75.2
beyneu,KZ,55.2,45.3167,1621136684,78.58,17,0,14.18,78.58
ternate,ID,127.4,0.8,1621136684,84.7,72,95,6.2,84.7
ketchikan,US,-131.6461,55.3422,1621136684,51.8,82,90,8.05,51.8
san cristobal,VE,-72.225,7.7669,1621136685,67.37,88,99,2.53,67.37
gobabis,NA,18.9667,-22.45,1621136685,52.88,41,0,6.46,52.88
baie-comeau,CA,-68.1489,49.2168,1621136595,39.2,87,20,3.44,39.2
suoyarvi,RU,32.35,62.0833,1621136686,53.8,72,100,7.52,53.8
sabha,LY,14.4283,27.0377,1621136686,70.99,42,0,14.54,70.99
zorritos,PE,-80.6782,-3.6805,1621136687,73.11,82,100,7.18,73.11
paka,MY,103.4368,4.6374,1621136687,89.31,70,40,2.3,89.6
hithadhoo,MV,73.0833,-0.6,1621136687,84.81,72,100,17.63,84.81
richards bay,ZA,32.0377,-28.783,1621136688,65.48,37,0,4.85,65.48
noumea,NC,166.4572,-22.2763,1621136455,78.85,88,90,6.91,80.01
obama,JP,135.746,35.4958,1621136689,64.33,90,100,3.0,69.01
riyadh,SA,46.7219,24.6877,1621136494,81.07,20,0,9.48,82.4
puerto ayora,EC,-90.3518,-0.7393,1621136689,73.0,98,16,1.99,73.0
jamestown,US,-79.2353,42.097,1621136631,50.14,37,1,2.84,53.6
bonnyville,CA,-110.735,54.2668,1621136690,64.42,30,75,8.05,66.2
qaanaaq,GL,-69.3632,77.484,1621136690,31.62,75,99,8.48,31.62
hemnesberget,NO,13.6333,66.2333,1621136691,48.0,78,96,1.99,48.0
bathsheba,BB,-59.5167,13.2167,1621136691,80.6,61,20,23.02,80.6
yellowknife,CA,-114.3525,62.456,1621136560,36.75,65,75,10.36,37.4
avarua,CK,-159.775,-21.2078,1621136692,78.8,78,75,10.36,78.8
christchurch,NZ,172.6333,-43.5333,1621136636,54.43,82,100,3.44,55.99
lavrentiya,RU,-171.0,65.5833,1621136692,33.33,90,21,3.65,33.33
provideniya,RU,-173.3,64.3833,1621136693,42.75,60,12,3.65,42.75
granadilla de abona,ES,-16.576,28.1188,1621136693,63.61,77,0,2.3,66.99
hermanus,ZA,19.2345,-34.4187,1621136593,54.0,77,100,4.0,54.0
port hardy,CA,-127.4199,50.6996,1621136618,51.51,82,75,11.5,53.6
tessalit,ML,1.0114,20.1986,1621136694,88.0,14,54,5.97,88.0
ancud,CL,-73.8203,-41.8697,1621136694,45.21,100,90,3.44,48.99
huilong,CN,121.655,31.8111,1621136694,82.6,75,100,5.01,82.99
salalah,OM,54.0924,17.0151,1621136432,82.4,69,20,4.61,82.4
ribeira grande,PT,-28.7,38.5167,1621136695,63.45,93,100,4.72,63.45
codrington,AU,141.9667,-38.2667,1621136696,58.62,66,56,20.07,58.62
port blair,IN,92.75,11.6667,1621136696,88.54,65,13,5.41,88.54
collingwood,CA,-80.2164,44.4834,1621136436,50.76,71,28,2.3,51.8
asau,RO,26.4,46.4333,1621136697,52.0,60,100,3.06,52.0
charyshskoye,RU,83.5598,51.3978,1621136697,69.75,41,10,3.62,69.75
whyalla,AU,137.5833,-33.0333,1621136697,59.0,63,90,4.61,59.0
south venice,US,-82.4243,27.0531,1621136698,72.9,56,1,10.36,73.4
